nys_assembly,nys_senate,objectid,us_congress,zipcode
38,15,6197,7,11421
85,34,21494,15,10474
83,36,5590,16,10466
23,15,6181,5,1169111692
81,34,4823,16,10463
77,29,5673,15,10451
27,11,4614,14,11357
25,16,5331,6,11364
66,27,5772,10,10014
23,15,5362,8,11414
72,31,6326,13,1003310034
62,24,5969,11,10312
41,19,5165,9,11235
37,12,6409,12,1110211106
53,18,5248,7,11206
35,13,6212,14,10021
68,30,4816,13,10029
62,24,69247,11,1030410306
35,16,6606,6,11373
273536,13141516,15508,614,11103113671136811369113701137111375
77,29,5704,15,10452
74,26,4645,12,10009
54,18,5388,7,112071120811385
65,26,4982,12,10009
23,10,5573,5,11691
55,25,5293,8,11233
66,27,5734,10,10014
35,16,6136,6,11373
61,23,5077,11,10310
85,32,5628,15,10459
65,26,5336,12,10002
50,26,5210,7,11211
65,26,5419,10,10038
46,22,5813,11,11209
40,16,4911,6,11355
67,27,4930,10,10023
76,29,6368,12,10021100281006510075
82,34,5521,14,10465
62,24,4600,11,10309
63,24,6053,11,10301
50,26,6057,7,11211
70,30,4702,13,10026
77,29,5699,15,10452
32,10,5089,5,11434
62,24,6304,11,10312
66,26,5794,10,10012
55,19,4892,9,11212
55,25,5241,8,11233
79,32,4690,15,10455
52,25,6190,8,11201
2331,10,6343,5,110961143011691
66,26,5687,10,10013
787987,3233,5680,15,10460
83,36,4705,16,10469
56,25,6089,8,11233
44,21,69238,9,11215
50,18,5525,12,11211
55,19,6568,8,11212
86,33,5711,15,10457
74,26,5568,12,10009
28,15,5765,6,11379
38,10,5908,5,11416
66,26,6356,10,10012
68,29,5001,13,10029
81,33,4804,13,10463
50,26,6143,7,11205
242526,1116,69209,36,1136111362113631136411426
77,29,4782,15,10453
31,10,5172,5,11693
70,30,4975,13,10027
62,24,4619,11,1030710309
82,34,5530,14,10461
37,12,5443,12,11102
55,25,5286,9,11233
77,29,4778,15,10452
48,17,5483,9,11230
26,11,5312,6,11360
23,10,6318,5,11691
706872,3031,6331,13,10032100331003410037100391004010451
57,25,6038,8,11238
62,24,51994,11,10309
79,32,5514,15,10451
23,10,6416,5,11691
40,16,6174,6,11358
61,23,5863,11,10303
46,23,4607,8,11224
26,11,6257,3,11360
62,24,6060,11,10312
46,22,6007,11,11209
55,19,5203,8,11212
46,23,69252,8,11224
84,32,5844,15,10455
57,25,6644,8,11201
87,33,5647,15,10472
82,34,4588,14,10464
31,10,6238,5,1155911422
77,29,5749,15,10452
4442,1721,6361,9,1121011230
60,19,5305,9,11212
50,26,5400,12,11222
64,23,6041,11,10305
3439,1316,6140,614,1137211373
74,26,4994,12,10009
8172,3331,5730,13,1046310463
76,29,69221,12,10028
54,18,5274,8,11208
65,26,4652,7,10002
65,26,5927,7,10038
68,30,4880,13,10029
81,34,5718,16,10463
61,23,6577,11,10304
77,29,5407,15,10452
26,11,6269,6,11361
51,26,5222,7,11231
50,26,5191,12,11222
81,34,4797,13,10468
51,25,5502,10,11231
87,32,5996,15,1046210472
63,24,5799,11,10314
53,18,5236,7,11237
79,32,4732,15,10456
42,21,5134,9,11210
2331,1015,6394,5,11691116921169311694
26,11,6656,3,11357
7566,27,5988,10,100011001110014
69686775,29,6587,1013,100231002410025
72,31,5685,13,10040
27,14,5891,6,11415
68,29,4626,13,10029
54,18,5279,8,11208
26,11,6276,3,11357
77,29,5677,15,10452
77,32,4775,15,10456
74,27,4925,12,10010
36,12,5874,1214,11102
60,19,6228,8,11208
86,33,4759,15,10458
50,18,5464,7,11211
37,12,5559,12,11101
53,18,14691,7,11206
55,25,5267,8,11233
81,34,6421,16,1046710470104711070510705
61,23,5070,11,10301
53,18,4854,7,11206
31,10,5350,5,11691
35,13,4956,14,11368
80,36,5540,14,10467
57,21,6011,9,11238
50,18,6402,12,11211
58,20,6133,9,11236
81,34,5737,16,10463
46,22,5153,11,11228
85,32,6307,15,10472
52,26,5426,7,11201
35,16,5369,6,11375
56,18,5075,7,11206
27,15,5120,6,11367
73,28,5582,12,10022
79,32,5775,15,10460
60,19,6288,8,11207
29,10,5936,5,11434
35,16,4918,6,11374
81,34,5780,16,10471
79,32,4721,15,10459
53,18,5184,7,11221
54,18,6435,87,11208
30,12,84532,14,11377
63,24,5058,11,10301
23,1015,5571,5,11691
85,34,5823,15,10473
23,15,69249,5,11694
86,33,5700,15,10457
54,18,6019,7,11207
31,10,64400,5,11691
65,26,6625,7,10002
26,11,69240,6,1136011361
86,33,5654,15,10457
51,25,4595,107,11231
85,32,4739,15,10460
57,25,5158,8,11205
46,22,4842,11,11209
7071,31,4747,13,1002710031
70,30,5610,13,10027
24,14,6658,6,11435
65,26,5851,10,10005
75,27,4949,10,10011
60,19,6102,8,11208
57,25,5255,8,11216
36,13,4934,14,11105
27,14,5898,6,11415
51,17,4839,10,11219
79,32,4737,15,10456
52,26,69225,7,11201
34,12,5587,14,11377
36,12,5442,12,11106
60,19,5245,8,11207
62,24,5074,11,1030910312
79,33,6593,15,10460
23,15,5360,8,11414
68,30,4877,13,10035
50,18,5810,12,11222
85,32,6589,15,10460
85,32,5625,15,10459
27,16,5333,6,11375
72,31,4979,13,10033
32,10,5117,5,11434
83,36,97348,16,10469
52,26,5511,7,11201
71,30,5971,13,10032
23,15,6432,5,11693
31,10,6168,5,11420
40,16,6235,6,11355
61,23,6365,11,10302
68,30,6397,13,10035
71,30,4896,13,10039
52,26,5105,7,11201
69,31,4699,10,10025
63,24,6660,11,10304
25,16,69218,6,11364
78,33,4794,13,10458
60,19,5857,9,11212
24,11,5324,3,11004
61,23,6029,11,10302
61,23,4597,11,10302
70,30,6247,13,10026
27,11,6251,14,11356
70,30,13488,13,10030
79,32,4726,15,10451
81,34,5739,16,10463
63,23,5743,11,10303
29,14,5982,5,11433
74,27,5385,12,10010
55,20,5093,9,11212
40,16,6187,6,11354
86,33,6384,15,10457
495164,23,6020,10,1121911220
82,34,5967,14,10461
65,26,6581,712,10002
